unit,source,organization,status,url,use
U06,Documento Madre - Sonido del Espectáculo 2020,Interna,Fuente interna,DOCUMENTO_MADRE-apuntes_de_clases estudiante Sonido del Espectáculo 2020.pdf,Base de clase sobre micrófonos y transductores
U06,RadioLibres - Cómo funcionan los micrófonos,RadioLibres,Verde con cuidado BY-SA,https://radioslibres.net/34-como-funcionan-los-microfonos/,Refuerzo práctico sobre micrófonos
U07,Documento Madre - Sonido del Espectáculo 2020,Interna,Fuente interna,DOCUMENTO_MADRE-apuntes_de_clases estudiante Sonido del Espectáculo 2020.pdf,"Base sobre señales, cables y conexiones"
U07,RadioLibres - Qué tipos de cables y conectores hay,RadioLibres,Verde con cuidado BY-SA,https://radioslibres.net/33-que-tipos-de-cables-y-conectores-hay/,Refuerzo sobre conectores y balanceado/desbalanceado
U08,Documento Madre - Sonido del Espectáculo 2020,Interna,Fuente interna,DOCUMENTO_MADRE-apuntes_de_clases estudiante Sonido del Espectáculo 2020.pdf,Base sobre consola y ruteo
U08,RadioLibres - Qué son todos esos botones,RadioLibres,Verde con cuidado BY-SA,https://radioslibres.net/capitulo-5-que-son-todos-esos-botones/,Refuerzo sobre controles de consola
U09,Documento Madre - Sonido del Espectáculo 2020,Interna,Fuente interna,DOCUMENTO_MADRE-apuntes_de_clases estudiante Sonido del Espectáculo 2020.pdf,Base sobre amplificadores
U09,RadioLibres - Cómo conecto los altavoces,RadioLibres,Verde con cuidado BY-SA,https://radioslibres.net/capitulo-9-como-conecto-los-altavoces/,Refuerzo sobre parlantes e impedancia
U10,Blacksmith Learning Lab,Blacksmith,Interno,01-04 documentos Learning Lab,"Modelo de evidencia, microcasos y evaluación"
U10,CEDEC / INTEF,Ministerio Educación España,Verde con cuidado BY-SA,https://cedec.intef.es/,Referencia metodológica general
